Run Group Frequency Power
1 4I 14 534314722.8994429
1 4I 15 542078760.7328491
1 4I 16 546446202.7657542
1 4I 17 548240900.1968837
1 4I 18 547678925.3388951
1 4I 19 546928720.1958055
1 4I 20 544280723.9317647
1 4I 21 538047176.4672126
1 4I 22 531943068.1728468
1 4I 23 525115099.0747677
1 4I 24 511676522.7061074
1 4I 25 492386028.2126122
1 4I 26 477579256.79628634
1 4I 27 477733381.2673991
1 4I 28 489548907.8179054
1 4I 29 496555729.25690705
1 4I 30 486710832.3897908
1 4I 31 462502550.9692286
1 4I 32 432232714.48928
1 4I 33 399668539.38479674
1 4I 34 366673765.9282413
1 4I 35 338024031.00981414
1 4I 36 319975133.66926533
1 4I 37 315387386.61185765
1 4I 38 318825791.5785966
1 4I 39 321464812.24152696
1 4I 40 317915426.9003663
1 4I 41 305785515.21300143
1 4I 42 283614639.1743586
1 4I 43 258615004.1043881
1 4I 44 250329442.60449922
1 4I 45 269520903.7703168
1 4I 46 300672312.68586123
1 4I 47 315995227.38768023
1 4I 48 306812691.1724323
1 4I 49 293240566.83608055
1 4I 50 292786233.7215973
1 4I 51 294599093.1653636
1 4I 52 279078134.64139116
1 4I 53 246872789.84279004
1 4I 54 215372296.9168833
1 4I 55 197943533.08783787
1 4I 56 193376452.0216751
1 4I 57 190505048.05428568
1 4I 58 181174097.69434133
1 4I 59 167596935.33011532
1 4I 60 155736680.8199883
1 4I 61 145835455.69900373
1 4I 62 134622245.5482933
1 4I 63 123652752.36283259
1 4I 64 118302535.76096304
1 4I 65 118699012.47489768
1 4I 66 119796259.67636527
1 4I 67 119566144.7036977
1 4I 68 118960576.5678818
1 4I 69 117462639.69060579
1 5E 3 1010155481.1892881
1 5E 4 851597800.0401884
1 5E 5 849660943.3992702
1 5E 6 873859151.4225211
1 5E 7 892193557.9819338
1 5E 8 901225053.1675999
1 5E 9 893131342.4371345
1 5E 10 851401315.1381803
1 5E 11 783265819.274269
1 5E 12 732655531.9966917
1 5E 13 727491261.7333238
1 5E 14 746572010.0042412
1 5E 15 763713952.0320761
1 5E 16 778330741.4785764
1 5E 17 789718325.6387931
1 5E 18 792215540.5018559
1 5E 19 788789860.8370967
1 5E 20 776509544.8558774
1 5E 21 752435076.250144
1 5E 22 732191054.9225259
1 5E 23 723273434.2438283
1 5E 24 707552875.4584756
1 5E 25 671624004.4624169
1 5E 26 633721309.9575367
1 5E 27 625027783.7219087
1 5E 28 646933343.8694825
1 5E 29 667557288.3627474
1 5E 30 659706199.9534461
1 5E 31 622356059.6579636
1 5E 32 569571886.4816836
1 5E 33 514337395.6975031
1 5E 34 465197118.9293927
1 5E 35 427695099.43821454
1 5E 36 406133640.2003418
1 5E 37 402723058.4954951
1 5E 38 408337035.9827665
1 5E 39 408847197.11790264
1 5E 40 400581441.9412669
1 5E 41 384792675.8957
1 5E 42 356608692.48167807
1 5E 43 323854818.3216835
1 5E 44 317428171.66362166
1 5E 45 352129447.499295
1 5E 46 401270317.8609841
1 5E 47 423456089.5962932
1 5E 48 404376486.3157639
1 5E 49 371085190.64230406
1 5E 50 354697223.9651483
1 5E 51 348190436.33536094
1 5E 52 323618232.49452513
1 5E 53 277747863.0989418
1 5E 54 234541859.89499027
1 5E 55 210634866.64258158
1 5E 56 199142087.75751072
1 5E 57 187148433.72443262
1 5E 58 173256814.2979864
1 5E 59 163507155.00038135
1 5E 60 158650144.86162162
1 5E 61 151212704.1118793
1 5E 62 135307482.27465808
1 5E 63 115956684.21052441
1 5E 64 104604474.32669905
1 5E 65 103673535.67254461
1 5E 66 103964875.75670663
1 5E 67 99790171.60338584
1 5E 68 93934991.6966461
1 5E 69 88469151.56409949
1 5I 3 905458569.9743026
1 5I 4 731186402.1898379
1 5I 5 707515529.9379754
1 5I 6 716018013.9549334
1 5I 7 725583245.245321
1 5I 8 730002303.4394232
1 5I 9 723835974.8882338
1 5I 10 700304833.0174649
1 5I 11 665725325.298547
1 5I 12 642291048.2803744
1 5I 13 641860823.6530952
1 5I 14 653345656.0514998
1 5I 15 664155549.1444156
1 5I 16 671856196.1345963
1 5I 17 673564339.4521725
1 5I 18 668188501.8400793
1 5I 19 661285965.7443894
1 5I 20 652867296.0942807
1 5I 21 640053478.5473807
1 5I 22 627358745.6722502
1 5I 23 615327109.4201487
1 5I 24 597304726.4017034
1 5I 25 572786666.9409355
1 5I 26 552694515.7629712
1 5I 27 550011821.9380553
1 5I 28 562080165.4333518
