Run NumNeurons Group meanFR meanCV
3 23130 2/3I 6.6564 0.5859
3 23130 4E 2.1712 0.4667
3 23130 4I 8.0247 0.7959
3 23130 5E 9.7455 0.7986
3 23130 5I 9.6825 0.7002
3 23130 6E 0.2403 0.6183
3 23130 6I 8.8163 0.7202
4 23130 all 5.6858 0.6027
4 23130 2/3E 3.4033 0.4134
4 23130 2/3I 6.9255 0.5998
4 23130 4E 2.4444 0.4542
4 23130 4I 7.8457 0.8213
4 23130 5E 10.2374 0.7623
4 23130 5I 9.9402 0.6651
4 23130 6E 0.1824 0.4034
4 23130 6I 8.9592 0.702
5 23130 all 5.5403 0.6188
5 23130 2/3E 3.2959 0.4451
5 23130 2/3I 6.7182 0.5844
5 23130 4E 2.2277 0.4934
5 23130 4I 7.6605 0.7798
5 23130 5E 9.9967 0.8044
5 23130 5I 9.8327 0.6981
5 23130 6E 0.1708 0.4411
5 23130 6I 8.7823 0.7038
6 23130 all 5.5884 0.6392
6 23130 2/3E 3.324 0.4657
6 23130 2/3I 6.7595 0.5911
6 23130 4E 2.3796 0.4414
6 23130 4I 7.7963 0.8391
6 23130 5E 10.0551 0.8105
6 23130 5I 9.8681 0.7198
6 23130 6E 0.2023 0.5078
6 23130 6I 8.8118 0.7385
7 23130 all 5.6364 0.6371
7 23130 2/3E 3.4865 0.4588
7 23130 2/3I 6.8843 0.6052
7 23130 4E 2.3879 0.4734
7 23130 4I 7.9136 0.8176
7 23130 5E 10.0295 0.8293
7 23130 5I 9.9035 0.7212
7 23130 6E 0.1759 0.4965
7 23130 6I 8.8776 0.6945
8 23130 all 5.7832 0.6091
8 23130 2/3E 3.4201 0.4079
8 23130 2/3I 6.882 0.5882
8 23130 4E 2.5452 0.4499
8 23130 4I 8.2407 0.816
8 23130 5E 10.4405 0.778
8 23130 5I 10.105 0.6872
8 23130 6E 0.244 0.4523
8 23130 6I 9.0522 0.6933
9 23130 all 5.4954 0.6371
9 23130 2/3E 3.1272 0.4459
9 23130 2/3I 6.5464 0.597
9 23130 4E 2.2609 0.4688
9 23130 4I 7.679 0.8287
9 23130 5E 10.0444 0.8106
9 23130 5I 9.8364 0.7033
9 23130 6E 0.162 0.5199
9 23130 6I 8.7506 0.7224
0 27000 all 5.7231 0.6368
0 27000 2/3E 3.4146 0.4468
0 27000 2/3I 6.744 0.5927
0 27000 4E 2.4291 0.4853
0 27000 4I 7.7619 0.7907
0 27000 5E 10.4055 0.807
0 27000 5I 10.0428 0.7101
0 27000 6E 0.1754 0.5444
0 27000 6I 8.8522 0.7178
1 27000 all 5.6155 0.6344
1 27000 2/3E 3.3839 0.4409
1 27000 2/3I 6.7812 0.5968
1 27000 4E 2.3511 0.4687
1 27000 4I 7.6243 0.7922
1 27000 5E 10.1781 0.8035
1 27000 5I 9.8289 0.7015
1 27000 6E 0.1123 0.5949
1 27000 6I 8.7498 0.677
2 27000 all 5.9153 0.6327
2 27000 2/3E 3.5934 0.4405
2 27000 2/3I 7.0054 0.6017
2 27000 4E 2.5473 0.4505
2 27000 4I 8.037 0.799
2 27000 5E 10.774 0.8329
2 27000 5I 10.193 0.7168
2 27000 6E 0.1456 0.5108
2 27000 6I 8.9469 0.709
3 27000 all 5.5214 0.6114
3 27000 2/3E 3.1868 0.4195
3 27000 2/3I 6.5795 0.5627
3 27000 4E 2.4634 0.4712
3 27000 4I 7.7619 0.8045
3 27000 5E 10.0311 0.7692
3 27000 5I 9.7778 0.6631
3 27000 6E 0.1837 0.5224
3 27000 6I 8.6725 0.6788
4 27000 all 5.9268 0.6543
4 27000 2/3E 3.5384 0.4504
4 27000 2/3I 6.9545 0.5899
4 27000 4E 2.6844 0.4725
4 27000 4I 7.8889 0.8442
4 27000 5E 10.8411 0.8529
4 27000 5I 10.1534 0.7436
4 27000 6E 0.1734 0.5424
4 27000 6I 9.0029 0.7386
5 27000 all 5.5289 0.6441
5 27000 2/3E 3.1739 0.4422
5 27000 2/3I 6.5629 0.579
5 27000 4E 2.422 0.4615
5 27000 4I 7.5344 0.7868
5 27000 5E 10.1235 0.8191
5 27000 5I 9.7496 0.7143
5 27000 6E 0.1722 0.6246
5 27000 6I 8.5662 0.7251
6 27000 all 5.5621 0.6133
6 27000 2/3E 3.325 0.4321
6 27000 2/3I 6.7313 0.6042
6 27000 4E 2.3511 0.4508
6 27000 4I 7.6984 0.8048
6 27000 5E 10.0345 0.7875
6 27000 5I 9.8112 0.6888
6 27000 6E 0.1437 0.4622
6 27000 6I 8.7826 0.6759
7 27000 all 5.6717 0.6337
7 27000 2/3E 3.325 0.4319
7 27000 2/3I 6.6716 0.5764
7 27000 4E 2.4468 0.4778
7 27000 4I 7.7143 0.8199
7 27000 5E 10.3739 0.8032
7 27000 5I 9.951 0.7048
7 27000 6E 0.1524 0.5466
7 27000 6I 8.7845 0.7089
8 27000 all 5.4728 0.617
8 27000 2/3E 3.154 0.412
8 27000 2/3I 6.5071 0.5813
8 27000 4E 2.4043 0.4347
8 27000 4I 7.672 0.8202
8 27000 5E 9.9509 0.784
8 27000 5I 9.7444 0.6794
8 27000 6E 0.1802 0.5582
8 27000 6I 8.5797 0.6663
9 27000 all 5.6477 0.6388
9 27000 2/3E 3.3295 0.4566
9 27000 2/3I 6.6892 0.5999
9 27000 4E 2.3664 0.4959
9 27000 4I 7.8836 0.8526
9 27000 5E 10.2653 0.8529
9 27000 5I 9.9238 0.7327
9 27000 6E 0.1996 0.3809
9 27000 6I 8.7865 0.7388
0 30834 all 5.4504 0.6282
0 30834 2/3E 3.1484 0.4202
0 30834 2/3I 6.4522 0.5815
0 30834 4E 2.3344 0.4709
0 30834 4I 7.5231 0.7982
0 30834 5E 9.9367 0.8072
0 30834 5I 9.6863 0.6925
0 30834 6E 0.1608 0.5491
0 30834 6I 8.5954 0.7061
1 30834 all 5.6835 0.6211
1 30834 2/3E 3.2953 0.4311
1 30834 2/3I 6.6615 0.5694
1 30834 4E 2.5202 0.4634
1 30834 4I 7.7269 0.7921
1 30834 5E 10.3826 0.767
1 30834 5I 10.0311 0.6741
1 30834 6E 0.183 0.5685
1 30834 6I 8.8109 0.7034
2 30834 all 5.5095 0.6033
2 30834 2/3E 3.2297 0.432
2 30834 2/3I 6.5809 0.5877
2 30834 4E 2.2856 0.4813
2 30834 4I 7.5278 0.7511
2 30834 5E 10.0212 0.7909
2 30834 5I 9.7128 0.6835
2 30834 6E 0.1712 0.4256
2 30834 6I 8.6667 0.6743
3 30834 all 5.5208 0.5895
3 30834 2/3E 3.2416 0.4355
3 30834 2/3I 6.5097 0.5643
3 30834 4E 2.2617 0.461
3 30834 4I 7.6111 0.7192
3 30834 5E 10.058 0.7611
3 30834 5I 9.7421 0.6518
3 30834 6E 0.1667 0.4422
3 30834 6I 8.7226 0.6806
4 30834 all 5.8094 0.6255
4 30834 2/3E 3.4028 0.4586
4 30834 2/3I 6.7842 0.5814
