Run NumNeurons Group meanFR meanCV
4 27000 4E 3.9208 0.4762
4 27000 4I 5.5873 0.4896
4 27000 5E 7.0268 0.5744
4 27000 5I 8.2149 0.5143
4 27000 6E 0.0008 
4 27000 6I 6.5121 0.4969
5 27000 all 4.9313 0.5741
5 27000 2/3E 2.7941 0.4843
5 27000 2/3I 6.4004 0.7887
5 27000 4E 3.87 0.4999
5 27000 4I 6.127 0.596
5 27000 5E 8.6821 0.5868
5 27000 5I 8.9922 0.5532
5 27000 6E 0.0012 
5 27000 6I 7.0029 0.51
6 27000 all 4.894 0.5866
6 27000 2/3E 2.7919 0.4885
6 27000 2/3I 6.3015 0.7875
6 27000 4E 3.7423 0.4688
6 27000 4I 6.1958 0.5699
6 27000 5E 8.5946 0.718
6 27000 5I 9.035 0.5566
6 27000 6E 0.0004 
6 27000 6I 6.9952 0.5167
7 27000 all 4.5164 0.5326
7 27000 2/3E 2.8723 0.4314
7 27000 2/3I 6.1419 0.7337
7 27000 4E 3.7222 0.4863
7 27000 4I 6.0847 0.5304
7 27000 5E 7.3686 0.5243
7 27000 5I 8.5686 0.5293
7 27000 6E 0.0012 
7 27000 6I 6.9024 0.4929
8 27000 all 5.9389 0.5903
8 27000 2/3E 3.6299 0.3904
8 27000 2/3I 8.1155 0.932
8 27000 4E 3.7849 0.4864
8 27000 4I 6.5503 0.674
8 27000 5E 10.6588 0.5691
8 27000 5I 10.0125 0.5648
8 27000 6E 0.002 
8 27000 6I 7.5208 0.5153
9 27000 all 4.2526 0.5049
9 27000 2/3E 2.0586 0.4744
9 27000 2/3I 5.2912 0.5424
9 27000 4E 3.8558 0.4725
9 27000 4I 5.6667 0.5282
9 27000 5E 7.5417 0.5284
9 27000 5I 8.2733 0.5024
9 27000 6E 0.0012 
9 27000 6I 6.5894 0.4857
0 30834 all 3.6617 0.4996
0 30834 2/3E 1.6843 0.4661
0 30834 2/3I 4.556 0.5278
0 30834 4E 3.7612 0.4841
0 30834 4I 5.4074 0.5074
0 30834 5E 6.1743 0.5179
0 30834 5I 7.9122 0.5039
0 30834 6E 0.0003 
0 30834 6I 6.2901 0.4898
1 30834 all 3.8063 0.4975
1 30834 2/3E 1.7274 0.479
1 30834 2/3I 4.5628 0.5096
1 30834 4E 3.9283 0.4924
1 30834 4I 5.4954 0.5166
